time,open,high,low,close
2020-02-12T08:00:00+08:00,145.5,145.5,145.5,145.5
2020-02-13T08:00:00+08:00,150,150,150,150
2020-02-14T08:00:00+08:00,149.18,149.18,149.18,149.18
2020-02-17T08:00:00+08:00,142.52,142.52,142.52,142.52
2020-02-18T08:00:00+08:00,140.11,140.11,140.11,140.11
2020-02-19T08:00:00+08:00,146.48,146.48,146.48,146.48
2020-02-20T08:00:00+08:00,137.98,137.98,137.98,137.98
2020-02-21T08:00:00+08:00,137.29,137.29,137.29,137.29
2020-02-24T08:00:00+08:00,142.76,142.76,142.76,142.76
2020-02-26T08:00:00+08:00,132.1,132.1,132.1,132.1
2020-02-27T08:00:00+08:00,122.99,122.99,122.99,122.99
2020-02-28T08:00:00+08:00,123.29,123.29,123.29,123.29
2020-03-02T08:00:00+08:00,120.03,120.03,120.03,120.03
2020-03-03T08:00:00+08:00,125.11,125.11,125.11,125.11
2020-03-04T08:00:00+08:00,123.75,123.75,123.75,123.75
2020-03-05T08:00:00+08:00,123.34,123.34,123.34,123.34
2020-03-06T08:00:00+08:00,127.56,127.56,127.56,127.56
2020-03-09T08:00:00+08:00,112.27,112.27,112.27,112.27
2020-03-10T08:00:00+08:00,110.41,110.41,110.41,110.41
2020-03-11T08:00:00+08:00,110.45,110.45,110.45,110.45
2020-03-12T08:00:00+08:00,109.48,109.48,109.48,109.48
2020-03-13T08:00:00+08:00,67.92,67.92,67.92,67.92
2020-03-16T08:00:00+08:00,74.4,74.4,74.4,74.4
2020-03-18T08:00:00+08:00,71.29,71.29,71.29,71.29
2020-03-19T08:00:00+08:00,71.62,71.62,71.62,71.62
2020-03-20T08:00:00+08:00,84.72,84.72,84.72,84.72
2020-03-23T08:00:00+08:00,79.09,79.09,79.09,79.09
2020-03-24T08:00:00+08:00,86.49,86.49,86.49,86.49
2020-03-25T08:00:00+08:00,90.31,90.31,90.31,90.31
2020-03-26T08:00:00+08:00,89.39,89.39,89.39,89.39
2020-03-27T08:00:00+08:00,90.53,90.53,90.53,90.53
2020-03-30T08:00:00+08:00,80.61,80.61,80.61,80.61
2020-03-31T08:00:00+08:00,86.96,86.96,86.96,86.96
2020-04-01T08:00:00+08:00,87.22,87.22,87.22,87.22
2020-04-02T08:00:00+08:00,89.1,89.1,89.1,89.1
2020-04-03T08:00:00+08:00,91.61,91.61,91.61,91.61
2020-04-06T08:00:00+08:00,91.91,91.91,91.91,91.91
2020-04-07T08:00:00+08:00,99.75,99.75,99.75,99.75
2020-04-09T08:00:00+08:00,101.44,101.44,101.44,101.44
2020-04-10T08:00:00+08:00,101.03,101.03,101.03,101.03
2020-04-13T08:00:00+08:00,96,96,96,96
2020-04-14T08:00:00+08:00,94.12,94.12,94.12,94.12
2020-04-15T08:00:00+08:00,94.11,94.11,94.11,94.11
2020-04-16T08:00:00+08:00,91.36,91.36,91.36,91.36
2020-04-17T08:00:00+08:00,98.34,98.34,98.34,98.34
2020-04-20T08:00:00+08:00,99.78,99.78,99.78,99.78
2020-04-21T08:00:00+08:00,95.4,95.4,95.4,95.4
